name	included	major
no wave	0	0
nrg	0	0
nubian music	0	0
nu-disco	1	0
nueva canción	0	0
nueva canción española	0	0
nueva canción latinoamericana	0	0
nueva trova	0	0
nu jazz	0	0
nu metal	0	0
nursery rhymes	0	0
nu skool breaks	0	0
nu style gabber	0	0
nwobhm	0	0
nyahbinghi	0	0
occitan folk music	0	0
odia folk music	0	0
odissi classical music	0	0
oi!	0	0
old-time	0	0
onda nueva	0	0
ondō	0	0
onkyo	0	0
opera	0	0
opera buffa	0	0
opera semiseria	0	0
opera seria	0	0
operetta	0	0
oratorio	0	0
orchestral	0	0
oriental jewish music	0	0
ossetian folk music	0	0
ottoman military music	0	0
outlaw country	0	0
outsider house	0	0
özgün müzik	0	0
pachanga	0	0
pagan black metal	0	0
pagodão	0	0
pagode	0	0
pagode romântico	0	0
paisley underground	0	0
pakacaping music	0	0
palingsound	0	0
palm wine music	0	0
pansori	0	0
papuan folk music	0	0
parang	0	0
partido alto	0	0
pashto folk music	0	0
pasillo	0	0
pasodoble	0	0
peking opera	0	0
persian classical music	0	0
persian pop	0	0
p-funk	0	0
philippine music	0	0
philly club	0	0
philly soul	0	0
phleng phuea chiwit	0	0
phonk	0	0
piano blues	0	0
piano rock	1	0
picopop	0	0
piedmont blues	0	0
pilón	0	0
pimba	0	0
pinoy folk rock	0	0
pinpeat	0	0
pìobaireachd	0	0
pipe band	0	0
piphat	0	0
pizzica	0	0
plainsong	0	0
plena	0	0
plugg	0	0
plunderphonics	0	0
poetry	0	0
poezja śpiewana	0	0
polish carpathian folk music	0	0
polish folk music	0	0
political hip hop	0	0
polka	0	0
polynesian music	0	0
polyphonic chant	0	0
pon-chak disco	0	0
pop	1	1
pop ghazal	0	0
pop punk	1	0
pop raï	0	0
pop rap	0	0
pop reggae	0	0
pop rock	1	0
pops orchestra	0	0
pop soul	1	0
pop sunda	0	0
porn groove	0	0
porro	0	0
portuguese folk music	0	0
portuguese music	0	0
post-bop	0	0
post-grunge	0	0
post-hardcore	0	0
post-industrial	1	0
post-metal	0	0
post-minimalism	0	0
post-punk	1	0
post-punk revival	0	0
post-rock	1	0
power electronics	0	0
power metal	0	0
power noise	0	0
power pop	1	0
power soca	0	0
powerviolence	0	0
powwow music	0	0
praise & worship	0	0
prank calls	0	0
prehistoric music	0	0
progressive big band	0	0
progressive bluegrass	0	0
progressive breaks	0	0
progressive country	0	0
progressive electronic	0	0
progressive folk	0	0
progressive house	0	0
progressive metal	0	0
progressive pop	1	0
progressive psytrance	0	0
progressive rock	1	0
progressive trance	0	0
proto-punk	0	0
psybient	0	0
psychedelia	0	1
psychedelic folk	0	0
psychedelic pop	1	0
psychedelic rock	1	0
psychedelic soul	0	0
psychobilly	0	0
psytrance	0	0
pub rock	0	0
punjabi folk music	0	0
punk	0	1
punk blues	0	0
punk rock	0	0
punta	0	0
purple sound	0	0
qaraami	0	0
qasidah modern	0	0
qawwali	0	0
quan họ	0	0
queercore	0	0
rabiz	0	0
radio broadcast recordings	0	0
radio drama	0	0
raga rock	0	0
ragga	0	0
raggacore	0	0
ragga jungle	0	0
ragtime	0	0
raï	0	0
rajasthani folk music	0	0
r&b	0	1
ranchera	0	0
rapai dabõih	0	0
rap metal	0	0
rap rock	0	0
rapso	0	0
rara	0	0
rasin	0	0
rasqueado	0	0
rasteirinha	0	0
rautalanka	0	0
rawstyle	0	0
red dirt	0	0
reductionism	0	0
reggae	0	0
reggaeton	0	0
regional music	0	1
rembetika	0	0
renaissance music	0	0
repente	0	0
revue	0	0
rhumba	0	0
rhythm & blues	0	0
riddim	0	0
rigsar	0	0
riot grrrl	0	0
ripsaw	0	0
ritual ambient	0	0
rizitika	0	0
rock	0	1
rockabilly	0	0
rock & roll	0	0
rock in opposition	0	0
rock opera	0	0
rocksteady	0	0
rock urbano español	0	0
rōkyoku	0	0
romanian etno music	0	0
romanian folk music	0	0
romanian music	0	0
romanian popcorn	0	0
romani folk music	0	0
romanţe	0	0
romanticism	0	0
roots reggae	0	0
roots rock	0	0
rumba catalana	0	0
rumba flamenca	0	0
runolaulu	0	0
russian chanson	0	0
